,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images
0,Raymond Realty Phase 2,"2 BHK Flat for rent in Vartak Nagar, Thane","Vartak Nagar, Thane",Carpet Area,"33,000 ",515,2,2,0,19.2155371,72.9627101,Ready To Move,"['https://static.99acres.com/universalapp/img/Featured.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://imagecdn.99acres.com/media1/22027/18/440558414M-1708008566062.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559104M-1708008576158.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559084M-1708008572472.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558522M-1708008566645.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558954M-1708008568519.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558726M-1708008568039.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559042M-1708008568800.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559076M-1708008569367.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
1,Lodha Splendora,"2 BHK Flat for rent in Ghodbunder Road, Thane","Ghodbunder Road, Thane",Carpet Area,"25,000 ",771,2,2,4.2,19.2945287,72.8899266,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Featured.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23880/19/477619796M-1709625111702.jpg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
2,Hiranandani Castle Rock,"2 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,1.1 Lac ,"1,350",2,2,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
3,"Chattarpur, South Delhi","3 BHK Independent Builder Floor for rent in Chattarpur, South Delhi","Chattarpur, South Delhi",Carpet Area,"30,000 ","1,120",3,2,0,28.503846,77.183032,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
4,Amrapali Golf Homes,3 BHK Flat for rent in Sector 4 Greater Noida,Sector 4 Greater Noida,Super Built-up Area,"16,000 ","1,115",3,2,0,28.4670734,77.5137649,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
5,Eldeco Utopia,3 BHK Flat for rent in Sector 93 A Noida,Sector 93 A Noida,Carpet Area,"60,000 ","1,745",3,3,3.9,28.522950700000003,77.38611652635943,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
6,"DLF Phase 1, Gurgaon","4 BHK Independent Builder Floor for rent in DLF Phase 1, Gurgaon","DLF Phase 1, Gurgaon",Carpet Area,"95,000 ","2,700",4,4,0,28.4714278,77.0939848,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
7,Hiranandani Torino,"3 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,1.5 Lac ,"1,600",3,3,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
8,Hiranandani Gardens Richmond Tower,"4 BHK Flat for rent in Hiranandani Gardens Powai, Mumbai","Hiranandani Gardens Powai, Mumbai",Super Built-up Area,3.75 Lac ,"3,600",4,4,0,19.114404999999998,72.91104954195528,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']"
9,DDA New Allotment,"3 BHK Flat for rent in Sector E Vasant Kunj, South Delhi","Sector E Vasant Kunj, South Delhi",Super Built-up Area,"55,000 ","1,580",3,2,3.9,28.6273928,77.1716954,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']"
