index,Title,Location,Address,Area Type,Price,Total Sqft,Size,Bath,Rating,Latitude,Longitude,Availability,Images,City
0,Raymond Realty Phase 2,"2 BHK Flat for rent in Vartak Nagar, Thane","Vartak Nagar, Thane",Carpet Area,33000.0,515,2,2,0.0,19.2155371,72.9627101,Ready To Move,"['https://static.99acres.com/universalapp/img/Featured.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://imagecdn.99acres.com/media1/22027/18/440558414M-1708008566062.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559104M-1708008576158.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559084M-1708008572472.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558522M-1708008566645.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558954M-1708008568519.jpg', 'https://imagecdn.99acres.com/media1/22027/18/440558726M-1708008568039.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559042M-1708008568800.jpg', 'https://imagecdn.99acres.com/media1/22027/19/440559076M-1708008569367.jpg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Thane
1,Lodha Splendora,"2 BHK Flat for rent in Ghodbunder Road, Thane","Ghodbunder Road, Thane",Carpet Area,25000.0,771,2,2,4.2,19.2945287,72.8899266,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Featured.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://imagecdn.99acres.com/media1/23880/19/477619796M-1709625111702.jpg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Thane
3,"Chattarpur, South Delhi","3 BHK Independent Builder Floor for rent in Chattarpur, South Delhi","Chattarpur, South Delhi",Carpet Area,30000.0,1120,3,2,0.0,28.503846,77.183032,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",South Delhi
4,Amrapali Golf Homes,3 BHK Flat for rent in Sector 4 Greater Noida,Sector 4 Greater Noida,Super Built-up Area,16000.0,1115,3,2,0.0,28.4670734,77.5137649,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
5,Eldeco Utopia,3 BHK Flat for rent in Sector 93 A Noida,Sector 93 A Noida,Carpet Area,60000.0,1745,3,3,3.9,28.522950700000003,77.38611652635943,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Noida
6,"DLF Phase 1, Gurgaon","4 BHK Independent Builder Floor for rent in DLF Phase 1, Gurgaon","DLF Phase 1, Gurgaon",Carpet Area,95000.0,2700,4,4,0.0,28.4714278,77.0939848,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
9,DDA New Allotment,"3 BHK Flat for rent in Sector E Vasant Kunj, South Delhi","Sector E Vasant Kunj, South Delhi",Super Built-up Area,55000.0,1580,3,2,3.9,28.6273928,77.1716954,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/StarNew.png', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",South Delhi
10,"DLF Phase 2, Gurgaon","3 BHK Independent Builder Floor for rent in DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",Carpet Area,80000.0,1800,3,4,0.0,28.483901,77.0846097,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
13,M3M Heights,2 BHK Flat for rent in Sector 65 Gurgaon,Sector 65 Gurgaon,Super Built-up Area,61000.0,1250,2,2,0.0,28.4042354,77.06925773240255,Ready To Move,"['https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png', 'https://static.99acres.com/universalapp/img/projectnoimage.webp', 'https://static.99acres.com/universalapp/img/FDbadge.png']",Gurgaon
15,Ramprastha Primera,3 BHK Flat for rent in Sector 37D Gurgaon,Sector 37D Gurgaon,Carpet Area,60000.0,1775,3,3,0.0,28.4480039,76.9697682,Ready To Move,"['https://static.99acres.com/universalapp/img/GreenVerified.png', 'https://static.99acres.com/universalapp/img/Shortlist.png', 'https://static.99acres.com/universalapp/img/star_fomo.svg', 'https://static.99acres.com/universalapp/img/noImageBgPremium.svg', 'https://static.99acres.com/universalapp/img/downArrowNew.png']",Gurgaon
